index;City;State;Population;Latitude;Longitude;city-state;AlternateNames;isStateCapital
2648;Fallo;Abruzzo;119;41.94771000915218;14.323677182412569;Fallo, Abruzzo;;False
2655;Fano Adriano;Abruzzo;255;42.52570362540348;13.532635838290954;Fano Adriano, Abruzzo;;False
2656;Fara Filiorum Petri;Abruzzo;1989;42.24976244800992;14.174236349119468;Fara Filiorum Petri, Abruzzo;;False
2661;Fara San Martino;Abruzzo;1256;42.092564946272766;14.160112871152544;Fara San Martino, Abruzzo;;False
2665;Farindola;Abruzzo;1288;42.43219327015797;13.813549767015996;Farindola, Abruzzo;;False
2728;Filetto;Abruzzo;821;42.23552586873213;14.244826669767717;Filetto, Abruzzo;;False
2799;Fontecchio;Abruzzo;282;42.22448130152996;13.607306392965349;Fontecchio, Abruzzo;;False
2840;Fossa;Abruzzo;668;42.3029681314252;13.494196181193308;Fossa, Abruzzo;;False
2841;Fossacesia;Abruzzo;6269;42.23280983772153;14.488682480000604;Fossacesia, Abruzzo;;False
2857;Fraine;Abruzzo;247;41.902241471535405;14.491187424319932;Fraine, Abruzzo;;False
2859;Francavilla al Mare;Abruzzo;25443;42.41179297518323;14.27587110315604;Francavilla al Mare, Abruzzo;;False
2890;Fresagrandinaria;Abruzzo;919;41.98476553849341;14.657110549757244;Fresagrandinaria, Abruzzo;;False
2895;Frisa;Abruzzo;1638;42.26656335688449;14.376911735948813;Frisa, Abruzzo;;False
2910;Furci;Abruzzo;787;42.029664939878245;14.606156323184576;Furci, Abruzzo;;False
2931;Gagliano Aterno;Abruzzo;229;42.11690806526098;13.677075871630398;Gagliano Aterno, Abruzzo;;False
2974;Gamberale;Abruzzo;267;41.902393051565625;14.207172580073822;Gamberale, Abruzzo;;False
3049;Gessopalena;Abruzzo;1145;42.05389455950388;14.273250139224675;Gessopalena, Abruzzo;;False
3085;Gioia dei Marsi;Abruzzo;1690;41.91625112812911;13.729528090309138;Gioia dei Marsi, Abruzzo;;False
3096;Gissi;Abruzzo;2432;42.040902846442094;14.55879117144994;Gissi, Abruzzo;;False
3101;Giuliano Teatino;Abruzzo;1117;42.31209732232315;14.28355573861646;Giuliano Teatino, Abruzzo;;False
3102;Giulianova;Abruzzo;23514;42.741038378163545;13.941207370569495;Giulianova, Abruzzo;;False
3134;Goriano Sicoli;Abruzzo;511;42.07197036235743;13.771740826508443;Goriano Sicoli, Abruzzo;;False
3249;Guardiagrele;Abruzzo;8266;42.1857156086265;14.242985556637766;Guardiagrele, Abruzzo;;False
3263;Guilmi;Abruzzo;440;41.99183997569261;14.482100774983367;Guilmi, Abruzzo;;False
3288;Introdacqua;Abruzzo;1924;41.99768108937393;13.893051129785638;Introdacqua, Abruzzo;;False
