index;City;State;Population;Latitude;Longitude;city-state;AlternateNames;isStateCapital
160;Hulst;Zeeland;27402.0;51.280691;4.054887;Hulst, Zeeland;;False
161;IJsselstein;Utrecht;34268.0;52.017765;5.0403;IJsselstein, Utrecht;;False
162;Kaag en Braassem;Zuid-Holland;25758.0;52.204135;4.631315;Kaag en Braassem, Zuid-Holland;;False
163;Kampen;Overijssel;51069.0;52.557964;5.914462;Kampen, Overijssel;;False
164;Kapelle;Zeeland;12508.0;51.484755;3.959631;Kapelle, Zeeland;;False
165;Katwijk;Zuid-Holland;62825.0;52.19802;4.419943;Katwijk, Zuid-Holland;;False
166;Kerkrade;Limburg;46773.0;50.865946;6.070549;Kerkrade, Limburg;;False
167;Koggenland;Noord-Holland;22473.0;52.652196;4.942015;Koggenland, Noord-Holland;;False
168;Kollumerland en Nieuwkruisland;Friesland;12856.0;53.305888;6.189109;Kollumerland en Nieuwkruisland, Friesland;;False
169;Korendijk;Zuid-Holland;10693.0;51.810961;4.342386;Korendijk, Zuid-Holland;;False
170;Krimpen aan den IJssel;Zuid-Holland;28814.0;51.914353;4.596233;Krimpen aan den IJssel, Zuid-Holland;;False
171;Krimpenerwaard;Zuid-Holland;54287.0;51.982222;4.781667;Krimpenerwaard, Zuid-Holland;;False
172;Laarbeek;Noord-Brabant;21815.0;51.538447;5.621273;Laarbeek, Noord-Brabant;;False
173;Landerd;Noord-Brabant;15262.0;51.726775;5.659492;Landerd, Noord-Brabant;;False
174;Landgraaf;Limburg;37530.0;50.892765;6.022408;Landgraaf, Limburg;;False
175;Landsmeer;Noord-Holland;10457.0;52.440338;4.920923;Landsmeer, Noord-Holland;;False
176;Langedijk;Noord-Holland;26984.0;52.686711;4.783899;Langedijk, Noord-Holland;;False
177;Lansingerland;Zuid-Holland;57188.0;51.998714;4.516263;Lansingerland, Zuid-Holland;;False
178;Laren;Noord-Holland;10846.0;52.256817;5.224155;Laren, Noord-Holland;;False
179;Leek;Groningen;19607.0;53.161611;6.390616;Leek, Groningen;;False
180;Leerdam;Zuid-Holland;20586.0;51.894313;5.096927;Leerdam, Zuid-Holland;;False
